Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
0.073,66,0.001,0.001,0.000,0.002,0.001,[CUDA memcpy Host-to-Device]
0.073,64,0.001,0.001,0.000,0.002,0.001,[CUDA memcpy Device-to-Device]
