Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
55.5,74400,64,1162.5,1136.0,1088,1376,73.9,[CUDA memcpy Device-to-Device]
44.5,59712,66,904.7,896.0,768,1120,45.4,[CUDA memcpy Host-to-Device]
