[W703 08:10:27.981015169 OperatorEntry.cpp:208] Warning: Warning only once for all operators,  other operators may also be overridden.
  Overriding a previously registered kernel for the same operator and the same dispatch key
  operator: aten::nonzero(Tensor self) -> Tensor
    registered at /pytorch/build/aten/src/ATen/RegisterSchema.cpp:6
  dispatch key: CUDA
  previous kernel: registered at /pytorch/build/aten/src/ATen/RegisterCPU_1.cpp:8426
       new kernel: registered at /root/workspace/FlagGems/src/flag_gems/csrc/aten_patch.cpp:42 (function operator())
============================= test session starts ==============================
platform linux -- Python 3.11.15, pytest-8.1.1, pluggy-1.6.0 -- /root/miniconda3/envs/tree/bin/python3.11
cachedir: .pytest_cache
rootdir: /root/workspace/FlagGems
configfile: pytest.ini
plugins: anyio-4.14.1
collecting ... collected 1 item

benchmark/test_flash_attn_varlen_fa3_func.py::test_flash_attn_varlen_pr707_benchmark 
Operator: flash_attn_varlen_pr707  Performance Test (dtype=torch.float16, mode=kernel,level=comprehensive)
Status       Torch Latency (ms)    Gems Latency (ms)         Gems Speedup          Size Detail
SUCCESS               1.157584            2.019472               0.573          ('paged_uniform_b4_s4k_bs16_d128_mha', 'paged', ([torch.Size([16384, 32, 128]), torch.Size([1536, 16, 32, 128]), torch.Size([1536, 16, 32, 128]), 4096, torch.Size([5]), 4096, None, torch.Size([4]), None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, torch.Size([4, 256]), False, torch.Size([16384, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               7.170592           11.206976               0.640          ('prefill_b2_s16k_d128_mha', 'non_paged', ([torch.Size([32768, 32, 128]), torch.Size([32768, 32, 128]), torch.Size([32768, 32, 128]), 16384, torch.Size([3]), 16384, torch.Size([3]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([32768, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.355008            0.475648               0.746          ('prefill_b4_s2k_d128_mha', 'non_paged', ([torch.Size([8192, 32, 128]), torch.Size([8192, 32, 128]), torch.Size([8192, 32, 128]), 2048, torch.Size([5]), 2048, torch.Size([5]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([8192, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               1.035936            1.498336               0.691          ('prefill_b4_s4k_d128_gqa4', 'non_paged', ([torch.Size([16384, 32, 128]), torch.Size([16384, 8, 128]), torch.Size([16384, 8, 128]), 4096, torch.Size([5]), 4096, torch.Size([5]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([16384, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               1.078192            1.558272               0.692          ('prefill_b4_s4k_d128_mha', 'non_paged', ([torch.Size([16384, 32, 128]), torch.Size([16384, 32, 128]), torch.Size([16384, 32, 128]), 4096, torch.Size([5]), 4096, torch.Size([5]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([16384, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               3.683776            5.619456               0.656          ('prefill_b4_s8k_d128_gqa4', 'non_paged', ([torch.Size([32768, 32, 128]), torch.Size([32768, 8, 128]), torch.Size([32768, 8, 128]), 8192, torch.Size([5]), 8192, torch.Size([5]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([32768, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               3.785760            5.750624               0.658          ('prefill_b4_s8k_d128_mha', 'non_paged', ([torch.Size([32768, 32, 128]), torch.Size([32768, 32, 128]), torch.Size([32768, 32, 128]), 8192, torch.Size([5]), 8192, torch.Size([5]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([32768, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.392736            0.490144               0.801          ('prefill_b8_s2k_d64_mha', 'non_paged', ([torch.Size([16384, 16, 64]), torch.Size([16384, 16, 64]), torch.Size([16384, 16, 64]), 2048, torch.Size([9]), 2048, torch.Size([9]), None, None, 0.0, 0.125, False, [-1, -1], 0.0, None, False, False, None, False, torch.Size([16384, 16, 64]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               3.594752            5.560256               0.647          ('varlen_longtail_d128_gqa4', 'non_paged', ([torch.Size([20480, 32, 128]), torch.Size([20480, 8, 128]), torch.Size([20480, 8, 128]), 16384, torch.Size([18]), 16384, torch.Size([18]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([20480, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
SUCCESS               0.192832            0.400416               0.482          ('varlen_mixed_d128_gqa4', 'non_paged', ([torch.Size([3076, 32, 128]), torch.Size([20480, 8, 128]), torch.Size([20480, 8, 128]), 2048, torch.Size([7]), 8192, torch.Size([7]), None, None, 0.0, 0.08838834764831843, True, [-1, -1], 0.0, None, False, False, None, False, torch.Size([3076, 32, 128]), None, None, None, None], {'fa_version': 3, 'use_gluon': False}))
